st00	-7.600	-156.700	0.000
st01	-5.500	-220.600	0.000
st02	-8.200	-289.900	0.000
st03	2.300	-370.200	0.000
st04	7.600	-437.800	0.000
st05	5.000	-503.300	0.000
st06	3.600	-592.200	0.000
st07	5.800	-660.400	0.000
st08	6.200	-717.900	0.000
st09	-0.800	-808.800	0.000
st10	-96.500	-100.200	0.000
st11	-162.400	-148.300	0.000
st12	-211.900	-213.100	0.000
st13	-257.600	-259.000	0.000
st14	-303.900	-309.800	0.000
st15	-355.700	-352.700	0.000
st16	-411.600	-404.100	0.000
st17	-468.000	-463.900	0.000
st18	-522.200	-516.300	0.000
st19	-574.200	-575.500	0.000
st20	-142.500	-9.300	0.000
st21	-229.000	-8.100	0.000
st22	-300.200	0.600	0.000
st23	-367.500	7.800	0.000
st24	-436.400	-6.000	0.000
st25	-518.100	1.400	0.000
st26	-588.100	-3.000	0.000
st27	-661.100	-8.300	0.000
st28	-730.300	-4.400	0.000
st29	-794.200	-4.900	0.000
st30	-115.000	110.800	0.000
st31	-165.600	163.700	0.000
st32	-210.300	201.100	0.000
st33	-259.100	269.300	0.000
st34	-317.600	318.500	0.000
st35	-370.500	356.200	0.000
st36	-418.300	415.700	0.000
st37	-470.000	460.100	0.000
st38	-511.200	513.200	0.000
st39	-557.800	575.600	0.000
st40	3.700	156.400	0.000
st41	0.200	230.000	0.000
st42	-9.700	286.800	0.000
st43	-7.100	359.400	0.000
st44	1.700	448.700	0.000
st45	-7.100	508.800	0.000
st46	4.100	585.200	0.000
st47	-1.500	663.700	0.000
st48	4.200	736.500	0.000
st49	-2.500	809.800	0.000
st50	100.900	106.300	0.000
st51	162.300	161.800	0.000
st52	216.900	204.200	0.000
st53	257.700	263.400	0.000
st54	313.800	300.400	0.000
st55	357.700	366.700	0.000
st56	403.800	409.000	0.000
st57	453.700	455.400	0.000
st58	522.900	511.800	0.000
st59	567.300	564.500	0.000
st60	145.700	9.500	0.000
st61	217.200	6.000	0.000
st62	289.500	-0.400	0.000
st63	376.300	-6.000	0.000
st64	434.300	-7.700	0.000
st65	508.500	2.300	0.000
st66	581.800	-8.700	0.000
st67	659.100	-9.900	0.000
st68	730.700	8.400	0.000
st69	790.100	-7.900	0.000
st70	106.500	-111.100	0.000
st71	150.300	-158.600	0.000
st72	209.900	-199.500	0.000
st73	267.000	-256.600	0.000
st74	318.600	-316.200	0.000
st75	366.100	-359.900	0.000
st76	420.900	-419.000	0.000
st77	454.700	-454.700	0.000
st78	521.400	-505.100	0.000
st79	569.100	-561.100	0.000
